age,county,count,sex
85+,Windsor,488,1
85+,Washington,367,1
85+,Grand Isle,30,1
85+,Lamoille,124,1
85+,Orange,173,1
85+,Bennington,382,1
85+,Orleans,236,1
85+,Chittenden,771,1
85+,Essex,72,2
85+,Franklin,485,2
85+,Caledonia,463,2
85+,Addison,473,2
85+,Rutland,1003,2
85+,Windham,649,2
85+,Windsor,987,2
85+,Washington,930,2
85+,Grand Isle,49,2
85+,Lamoille,272,2
85+,Orange,338,2
85+,Bennington,683,2
85+,Orleans,470,2
85+,Chittenden,1820,2
