Year,Cnty,AGIClss,Return,Exempt,MarJnt,Single,MarSep,HdHous,AGI,FedTI,VTI,NetVTax
2005,Rutland,75000 - 99999,2265.0,6217.0,2001.0,220.0,11.0,33.0,194224849.0,141741487.0,139366027.0,5972937.3283
2005,Rutland,100000 - 149999,1299.0,3603.0,1165.0,121.0,4.0,9.0,154298396.0,118326566.0,114792171.0,5719262.545500001
2005,Rutland,150000 +,815.0,2170.0,690.0,103.0,6.0,16.0,274340464.0,235250439.0,208960615.0,14078545.2873
2005,Washington,Loss or None,328.0,363.0,63.0,249.0,8.0,8.0,-11849879.0,8119.0,2859.0,413.0
2005,Washington,0.01 - 4999,2635.0,1875.0,193.0,2289.0,16.0,137.0,6967578.8,348597.76,285035.76,11951.186699999998
2005,Washington,5000 - 9999,2544.0,2408.0,241.0,2075.0,34.0,194.0,18717083.0,2133101.0,2049275.0,70779.09379999999
2005,Washington,10000 - 14999,2188.0,3137.0,332.0,1550.0,38.0,268.0,27367006.0,6644285.0,6550598.0,228692.3287
2005,Washington,15000 - 19999,2153.0,3288.0,410.0,1383.0,41.0,319.0,37593531.0,13323680.0,13117993.0,449689.9961
2005,Washington,20000 - 24999,2145.0,3387.0,428.0,1318.0,57.0,342.0,48274638.0,22538759.0,22326538.0,782459.7068999995
2005,Washington,25000 - 29999,1946.0,3208.0,448.0,1162.0,56.0,280.0,53507013.0,29162899.0,28936744.0,1016144.3998
2005,Washington,30000 - 34999,1742.0,2970.0,466.0,980.0,48.0,248.0,56500063.0,33382546.0,33099528.0,1162023.7718
2005,Washington,35000 - 39999,1601.0,2949.0,549.0,803.0,35.0,214.0,59871738.0,37033546.0,36669870.0,1301197.2857999995
2005,Washington,40000 - 44999,1290.0,2633.0,554.0,557.0,26.0,153.0,54679614.0,34211831.0,33890344.0,1251964.3315
2005,Washington,45000 - 49999,1162.0,2490.0,589.0,434.0,17.0,122.0,55193982.0,35932564.0,35506955.0,1356150.4675
2005,Washington,50000 - 59999,1986.0,4738.0,1290.0,539.0,23.0,134.0,109038068.0,72311582.0,71512545.0,2754318.0922000003
2005,Washington,60000 - 74999,2403.0,6325.0,1968.0,323.0,19.0,93.0,161371778.01,111651238.0,110445201.0,4227149.8330000015
2005,Washington,75000 - 99999,2488.0,6879.0,2201.0,213.0,15.0,59.0,213376022.0,155233817.0,153097081.0,6681917.3621
2005,Washington,100000 - 149999,1518.0,4220.0,1355.0,126.0,6.0,31.0,180444369.0,137961708.0,133757438.0,6778821.6647999985
2005,Washington,150000 +,988.0,2678.0,835.0,116.0,10.0,27.0,303563345.0,256880004.0,230034193.0,15644995.499000002
2005,Windham,Loss or None,323.0,447.0,107.0,207.0,4.0,5.0,-13563312.0,-8897.0,12615.0,1569.0
2005,Windham,0.01 - 4999,2053.0,1591.0,187.0,1764.0,21.0,81.0,5456197.0,231436.0,187815.0,7057.859
2005,Windham,5000 - 9999,2236.0,2333.0,232.0,1789.0,28.0,187.0,16599715.0,1659625.0,1574439.0,55480.5311
2005,Windham,10000 - 14999,1932.0,2856.0,308.0,1337.0,32.0,255.0,24093368.56,5754813.74,5594357.74,187304.28
2005,Windham,15000 - 19999,1811.0,2829.0,361.0,1164.0,39.0,247.0,31607775.0,11156265.0,10974744.0,371232.1933
2005,Windham,20000 - 24999,1723.0,2862.0,412.0,1014.0,47.0,250.0,38691550.0,17507061.0,17284986.0,591845.8073999999
2005,Windham,25000 - 29999,1529.0,2597.0,392.0,872.0,50.0,215.0,41890933.0,22021591.0,21732311.0,734561.4289999999
2005,Windham,30000 - 34999,1317.0,2455.0,454.0,666.0,43.0,154.0,42643614.0,23858561.0,23635792.0,797213.7298
2005,Windham,35000 - 39999,1103.0,2123.0,412.0,522.0,17.0,152.0,41286966.0,24681976.0,24480073.0,828655.7962
2005,Windham,40000 - 44999,910.0,1913.0,440.0,338.0,27.0,105.0,38533396.0,23576701.0,23272834.0,814806.1638999998
2005,Windham,45000 - 49999,854.0,1956.0,497.0,272.0,13.0,72.0,40477910.0,25070121.0,24684181.0,877848.3930999999
2005,Windham,50000 - 59999,1375.0,3361.0,942.0,325.0,20.0,88.0,75309071.0,48869589.0,48205977.0,1729113.129000001
2005,Windham,60000 - 74999,1612.0,4166.0,1277.0,262.0,11.0,62.0,108161434.0,74037923.0,72856049.0,2637708.9793
2005,Windham,75000 - 99999,1495.0,4152.0,1284.0,162.0,12.0,37.0,128221314.0,92522778.0,90958511.0,3639653.9989
2005,Windham,100000 - 149999,912.0,2424.0,763.0,120.0,9.0,20.0,109120874.0,81988368.0,79341032.0,3776159.637799999
2005,Windham,150000 +,657.0,1607.0,513.0,122.0,8.0,14.0,234211311.0,197860237.0,169180095.0,10929661.1395
2005,Windsor,Loss or None,460.0,611.0,141.0,294.0,11.0,14.0,-15769300.0,1.0,351.0,10113.0
