Year,County,Cnt_Return,Cnt_Exempt,Cnt_MarJnt,Cnt_Single,Cnt_MarSep,Cnt_HdHous,Cnt_OthCrd,Cnt_Wthhld,Cnt_Estmt,Cnt_Adjstd,Cnt_NoTax,Cnt_EIC,Dol_AGI,Dol_FedTI,Dol_VTI,Dol_AdjVTx,Dol_OthCrd,Dol_NetVTax,Dol_EIC,Dol_AdjAGI
2013,Addison,18162,32678,7452,9060,276,1374,834,15099,2132,473,3889,2397,999312888.6,675197318.2,679253854.2,32753592.04,1480163,31273429.26,1412225,27042.71346
2013,Bennington,17752,32013,6961,8771,283,1737,2314,13374,2154,492,5043,2969,980891958.3,660729914,673840040,35166465.53,4910895,30255570.92,1927158,24954.29289
2013,Caledonia,14130,26365,5891,6634,201,1404,364,11569,1233,337,3690,2647,631213209.2,402509764.2,402417225.2,18554963.9,850724.9,17704238.97,1764000,21994.84613
2013,Chittenden,78173,137531,29460,41973,1096,5644,4146,69070,9022,2717,13356,7808,5507446768,4004772469,4069200031,220850648.7,9415460,211435188.7,4460026,31543.05549
2013,Essex,2525,4608,1095,1137,51,242,51,1936,178,78,804,551,86341795.02,49651299.01,49439808.01,1950098.977,70307.83,1879791.15,363589,18771.90799
2013,Franklin,23527,44904,9834,10919,339,2435,626,20687,1466,550,4968,3680,1198094152,800670179,803015544,36737515.85,1457920,35279595.42,2414949,24914.8043
2013,Grand Isle,3746,6771,1675,1730,60,281,223,3148,490,92,770,481,230119170.9,159612153,161485589,8175512.872,442268.9,7733243.997,290751,28991.76486
2013,Lamoille,12896,22913,4869,6641,239,1147,500,10802,1438,372,2869,1981,756176279,514609326.9,527380882.9,28468066.54,1726925,26741141.37,1220996,25606.38345
2013,Orange,14790,26858,6063,7075,257,1395,402,12097,1475,386,3503,2372,706035037.6,467414362,469488254,21466150.44,511401.4,20954749.03,1459258,24494.88441
2013,Orleans,13114,24061,5348,6237,207,1322,322,10674,1051,304,3784,2649,528684980.5,329961365.4,330789038.4,14928721.6,617946.2,14310775.41,1796925,20672.36896
2013,Rutland,32205,55554,11965,16960,507,2773,1515,27282,2794,870,7817,5050,1510571508,1003294189,1010612331,46514892.36,2129327,44385565.81,3034710,25067.01122
2013,Washington,29197,52236,11509,14617,518,2553,1124,24797,3275,799,5820,3843,1717665858,1208381441,1217437078,62377471.1,6304408,56073063.06,2200731,27828.75857
2013,Windham,21576,37950,8103,11000,383,2090,1697,16829,2773,724,5413,3716,1062606172,704962660,713601226,34308093.11,3148135,31159957.69,2231665,24931.1379
