Year,Cnty,Return,Exempt,MarJnt,Single,MarSep,HdHous,AGI,FedTI,VTI,NetVTax
2014,Grand Isle,3778.0,6794.0,1687.0,1745.0,55.0,291.0,248507224.06,183423552.0,183609306.0,9192484.008699996
2014,Lamoille,13035.0,22931.0,4863.0,6768.0,213.0,1191.0,817216194.9499999,578547693.2600001,581901714.2600001,30041305.883999985
2014,Orange,14914.0,26870.0,6036.0,7242.0,272.0,1364.0,745239433.1899996,499838066.99,502303316.96,22580298.59629998
2014,Orleans,13365.0,24184.0,5329.0,6473.0,202.0,1361.0,574538817.8699999,369594502.45,369701337.77,16667551.336699994
2014,Rutland,32819.0,56086.0,11941.0,17500.0,550.0,2828.0,1608829554.2499995,1083165653.4499998,1086130642.4499998,48473453.998
2014,Washington,29686.0,52529.0,11460.0,15138.0,544.0,2544.0,1949072801.7899992,1396910015.92,1400973172.14,65706850.69860001
2014,Windham,21825.0,37966.0,8058.0,11339.0,422.0,2006.0,1115840815.2999997,758681305.1500001,764592343.1500001,33666254.88429998
2014,Windsor,29001.0,51110.0,11511.0,14390.0,576.0,2524.0,1700136678.1499994,1210001443.81,1224671738.8100002,57933776.0761
2014,Suppressed/Not Stated,156.0,253.0,69.0,81.0,4.0,2.0,-1107231.0,2690897.0,2689535.0,102983.674
2015,Addison,18733.0,32812.0,7421.0,9541.0,371.0,1400.0,1101422024.7,755771013.6899999,777501488.6899999,36817756.062700026
2015,Bennington,18236.0,32229.0,6856.0,9165.0,324.0,1891.0,1031376953.02,699721177.0,732983897.0,32436246.52020002
2015,Caledonia,14248.0,26164.0,5762.0,6757.0,242.0,1487.0,657549484.03,425118394.0,431078675.99,18732258.959300026
2015,Chittenden,79743.0,138196.0,29468.0,43521.0,1198.0,5556.0,5879992860.010001,4308934606.950001,4459220372.95,232883684.68680006
2015,Essex,2799.0,5039.0,1178.0,1270.0,58.0,293.0,105332382.0,62489876.0,63072374.0,2557554.6854999997
2015,Franklin,24166.0,45416.0,9850.0,11388.0,384.0,2544.0,1297450408.54,886522289.0,901695477.0,41081001.86880003
2015,Grand Isle,3799.0,6747.0,1662.0,1775.0,57.0,305.0,252025758.9,180177824.0,185330453.0,9167290.445899993
2015,Lamoille,13261.0,23078.0,4845.0,7004.0,232.0,1180.0,837027320.18,593595175.0,609138796.0,31258103.266099993
2015,Orange,15213.0,27046.0,6037.0,7490.0,287.0,1399.0,780124229.15,525599335.24,535941230.24,24440823.100400023
2015,Orleans,13588.0,24411.0,5323.0,6650.0,221.0,1394.0,579044194.15,369729751.27,376337804.27,16639603.218399988
2015,Rutland,33230.0,56210.0,11847.0,17921.0,537.0,2925.0,1629777940.1299999,1099843005.59,1123300916.59,50422298.043700054
2015,Washington,29900.0,52332.0,11449.0,15390.0,537.0,2524.0,1834261876.2499995,1306307172.33,1330713946.33,62198415.574599914
2015,Windham,22050.0,37988.0,7962.0,11544.0,437.0,2107.0,1144197612.03,782672531.0,805433366.0,36389963.719700016
2015,Windsor,29193.0,50963.0,11490.0,14612.0,562.0,2529.0,1745850665.02,1217036758.0,1263337921.01,59908215.1368
2015,Suppressed/Not Stated,170.0,284.0,68.0,91.0,1.0,10.0,3169723.0,3651477.0,3686418.0,117214.1621
